,point.params.X_DUT_M1M2_W,point.params.X_DUT_M1M2_L,point.params.X_DUT_M1CM2C_W,point.params.X_DUT_M1CM2C_L,point.params.X_DUT_M3M4_W,point.params.X_DUT_M3M4_L,point.params.X_DUT_M3CM4C_W,point.params.X_DUT_M3CM4C_L,point.params.X_DUT_M5_W,point.params.X_DUT_M5_L,point.params.X_DUT_M5_NG,point.params.X_DUT_M6_W,point.params.X_DUT_M6_L,point.params.X_DUT_V_BIAS_1,point.params.X_DUT_V_BIAS_2,point.score,fit_summary.ugf.curr_val,fit_summary.ugf.score,fit_summary.dcgain.curr_val,fit_summary.dcgain.score,fit_summary.pm.curr_val,fit_summary.pm.score,fit_summary.v(inoise_total).curr_val,fit_summary.v(inoise_total).score,fit_summary.i(idd_total).curr_val,fit_summary.i(idd_total).score,fit_summary.tsettle.curr_val,fit_summary.tsettle.score
0,4.0892404565399655e-05,4.4370913037516635e-06,0.00019135718121213183,4.529482856860314e-06,0.00014053391203669067,1.1844147280377738e-06,0.00017559641871863244,3.2534171989353857e-06,1.5343655938592673e-05,6.263591829176676e-06,3,9.310331970366027e-05,2.943383883004091e-06,1.184575816383057,0.7255245026177836,-119.34294177005569,180607.19999999998,-73.93739546935274,20.72991,-10.100484889865257,89.0,-20.80297712989976,0.001493101028064837,-14.502084280937932,5.1236793716235e-06,56.91716562056003,1.150736e-05,0.0
1,6.867902635065366e-05,1.1701883999655574e-06,1.077905106304548e-05,1.665793332214837e-06,0.00013415676289948395,4.223526936661295e-06,5.511550293233987e-05,2.7080198090931333e-06,0.00017775373374955767,2.2863258696683613e-06,3,0.00013039047425262527,5.4966104807309224e-06,0.7837448599005431,1.0619878030959988,-74.87590660005236,104083700.0,-40.4971502797904,28.4484,-6.267573740943755,96.0,-28.111182579318218,0.0006660736173624273,25.529695115469142,1.420768117512506e-05,12.623039811497089,5.739230000000001e-07,0.0
2,7.373597903125839e-05,7.091228174062298e-06,0.00019247151430862474,8.746853563718833e-06,0.00017910447773880384,8.86725552682733e-06,0.00011563241856732156,2.704361299431806e-06,3.0643955440438556e-05,8.33422322077264e-06,4,1.8431092201962543e-05,1.2812525744875323e-06,0.5979339349850339,0.3839080232847683,-322.0270947292248,,-100.0,-3.788171,-22.027094729224793,,-100.0,0.0001445034680004876,91.89409130623257,5.665105860349837e-06,52.55455712836451,,-100.0
3,0.00012711528539849283,2.8636128853317917e-06,0.00018685385231673833,6.548622056424032e-07,0.00016157803163976996,2.6247280013678985e-06,0.00010926675273450101,2.7068890805197734e-06,0.00010037457060297349,3.666002457519127e-06,4,0.0001187430013658735,2.776981584669666e-06,0.19508087054231993,0.21784804512613817,-344.6207049941904,,-100.0,-54.99087,-44.6207049941904,,-100.0,0.0001544635466945911,88.99931804858785,5.171457444842382e-06,56.514064566306374,,-100.0
4,0.00011793247283048834,9.51039395307305e-06,0.00013109377772983245,4.687257410628693e-06,1.1753391922567636e-05,2.3198468437315276e-07,0.00018711151234636553,8.949429073136879e-06,0.00013091756052463873,1.0174842018916444e-06,4,8.55911712618423e-05,4.932180804961737e-06,0.10350680432202736,0.4076330454778518,-325.13537121528157,,-100.0,-4.008922,-22.132089318843228,,-100.0,0.001261083706847136,-3.0032818964383923,5.171469206888027e-06,56.51396578978611,,-100.0
5,0.00012666492021974225,3.0120316405402017e-06,5.8173796684636326e-05,2.865470262793245e-06,0.00014429440748750996,3.613824599870173e-06,0.0001900843677482887,6.6526507879877354e-06,9.231971049474287e-05,4.9372047546672875e-06,4,0.00015080301969417644,2.268670815744158e-06,0.3873938770576785,1.125683963856081,-210.72475483760934,2827442.0,-73.33156304411123,30.50639,-5.24199565913781,100.0,-32.151273753163444,0.01596301783011807,-99.99992238119685,6.106165846419466e-06,49.29850051816902,1.0077160000000001e-05,0.0
6,6.584440077329014e-05,3.929715564667841e-06,0.0001662215519723759,8.786785248442103e-06,9.23299092731793e-05,4.5450621184224767e-07,4.3039517120832746e-05,1.0275842709575172e-06,0.00013238121156003278,5.002939383988383e-06,4,0.00016269476265105755,8.955417218868882e-06,0.858580984115756,0.41354183535273614,-193.86504583204044,83251.67,-73.95945443240053,12.088799999999999,-14.355744388737257,75.0,-5.549847010902642,0.0001288047220984999,96.88873981516912,5.574388186630764e-06,53.25563923269697,,-100.0
7,9.43838823893511e-05,9.410296517979856e-06,2.7997556678073013e-06,2.0672966523115783e-06,0.00016744980490652003,4.007726523273944e-06,8.907388978724844e-05,1.952078035543143e-06,1.756683471141134e-05,7.42387718446039e-06,3,0.0001856522198406157,2.255443018758991e-06,1.130827291222901,0.2442331931291871,-332.05372823088834,,-100.0,-25.44916,-32.053728230888325,,-100.0,0.0001933531625330214,79.24679032017502,5.04460889736442e-06,57.59260994186707,,-100.0
8,0.00012153222964803379,5.1130400531894e-06,7.050303201210129e-05,7.051636254819893e-06,8.530820402774358e-05,6.9608284285503534e-06,4.591761387391351e-05,1.7855473022472226e-06,8.228890181266715e-05,5.281614258852314e-06,1,2.852319611306195e-05,9.585865132901469e-06,0.1749391193758762,0.7922912234264546,-228.8841461036348,,-100.0,-15.685479999999998,-27.60742407672476,,-100.0,0.001223611321494352,-1.1305179082952588,2.392408445576995e-05,-0.14620411861479,6.5648499999999995e-06,0.0
9,0.00016191586816205263,9.766767514519099e-06,0.00019020964031989243,7.549633182211388e-06,0.00016696060735956874,1.821398557876998e-06,0.0001078034262457342,1.9645474308241134e-06,0.00010539957046137319,1.472601998930654e-06,3,9.933103038985155e-05,5.404584660348586e-07,0.28346295946678757,0.8114405841674879,-148.0301886753836,5023263.0,-72.81995745018341,42.6482,0.0,158.0,-75.2102312252002,0.0003908133653013215,48.68497755000174,1.067417976346871e-05,25.041908848628008,5.177426e-06,0.0
10,0.00015800891161011957,7.521831411234579e-06,9.862913449136579e-05,6.725807646028344e-06,0.00016991602260609415,5.3756039973986694e-06,4.8597021893999006e-05,6.1806264949256015e-06,0.00016928609555759045,8.026846237500883e-06,5,9.48567865051332e-05,7.964603599161439e-06,0.6392036625562693,0.5413254496419868,-102.89626479113865,1313204.0,-73.67960094692019,24.13275,-8.413686714318702,89.0,-20.80297712989976,0.0002814841148527368,62.936529199837445,1.16096000999552e-05,21.393634050571915,3.5029519999999997e-06,0.0
11,7.3099532399954515e-06,3.0873508198938763e-06,8.389771093836167e-05,9.359733365473739e-07,0.0001782171461887574,7.328124796054905e-06,4.8563596746710154e-05,2.3011038185000505e-06,0.00016080493630472027,7.585406764029089e-06,3,2.1306764173573062e-05,2.9661813767039465e-06,1.1570273789923382,0.6173328217887687,-198.9611806043128,16232190.0,-70.07838016301962,30.178669999999997,-5.40539121497734,91.0,-22.918899653509904,0.0009623448470643801,9.548845790043671,3.217030760331565e-05,-0.558509572805943,,-100.0
