,point.params.X_DUT_M1M2_W,point.params.X_DUT_M1M2_L,point.params.X_DUT_M1CM2C_W,point.params.X_DUT_M1CM2C_L,point.params.X_DUT_M3M4_W,point.params.X_DUT_M3M4_L,point.params.X_DUT_M3CM4C_W,point.params.X_DUT_M3CM4C_L,point.params.X_DUT_M5_W,point.params.X_DUT_M5_L,point.params.X_DUT_M5_NG,point.params.X_DUT_M6_W,point.params.X_DUT_M6_L,point.params.X_DUT_V_BIAS_1,point.params.X_DUT_V_BIAS_2,point.score,fit_summary.ugf.curr_val,fit_summary.ugf.score,fit_summary.dcgain.curr_val,fit_summary.dcgain.score,fit_summary.pm.curr_val,fit_summary.pm.score,fit_summary.v(inoise_total).curr_val,fit_summary.v(inoise_total).score,fit_summary.i(idd_total).curr_val,fit_summary.i(idd_total).score,fit_summary.tsettle.curr_val,fit_summary.tsettle.score
0,2.5014532929670535e-05,2.081902935049539e-06,7.325035017678665e-06,4.71070613695513e-07,0.00011054169955090322,2.255932410728834e-07,0.0001414107087699427,1.9957712784679237e-06,0.0001860830339483565,7.831613934989033e-06,2,3.9413817725082516e-05,8.962417519055536e-06,0.7753860013701198,0.9252133335943828,-3.037455693741471,236521899.99999997,5.165206433068182,40.23314,-0.7668600000000012,70.0,0.0,0.000560357080298372,33.035431933915696,4.37059569374147e-05,-2.2705956937414697,2.8717900000000003e-07,0.0
1,4.7466881407900546e-05,2.2096651449777695e-06,4.591353144956252e-06,4.0245785344126193e-07,0.00011013374132752448,2.222108902909381e-07,9.917817962370872e-05,1.955284496688311e-06,0.00016405537363482913,8.859340541783511e-06,2,4.1084376243000014e-05,9.84253633661761e-06,0.7591176572809125,1.0341529401591683,-5.263008417546345,213890300.0,0.7971794877366836,37.20094,-3.799059999999997,64.0,0.0,0.0004882748893220831,39.0154792849683,3.563948417546348e-05,-1.4639484175463475,3.2027499999999987e-07,0.0
2,4.7466881407900546e-05,2.20966514497777e-06,4.5913531449562655e-06,4.0245785344126193e-07,0.00014440595942350588,2.222108902909381e-07,9.917817962370873e-05,1.9552844966883115e-06,0.0001811972508334252,8.474795314092533e-06,2,3.457372414098848e-05,6.2279017559490104e-06,0.7591176572809126,1.0176894342569622,-5.432445468965506,197783600.0,0.0,37.38012,-3.6198800000000015,53.0,0.0,0.0004838275199070065,39.412861588190914,3.912565468965505e-05,-1.8125654689655046,3.0480500000000017e-07,0.0
3,4.1097647443569755e-05,1.996979076730815e-06,5.9831076097582236e-06,4.428156568453108e-07,9.99254368562405e-05,2.6353378319287225e-07,9.849036491473763e-05,1.9571615989506335e-06,0.0001708474643516795,8.715140631988987e-06,2,4.023274676699946e-05,9.896911715524098e-06,0.7876209830582029,1.0518223566991536,-7.882002239906273,223887400.0,2.7810358182093564,34.87626,-6.123739999999998,61.0,0.0,0.0004923428222748853,38.655157225217536,3.858262239906275e-05,-1.7582622399062744,3.1887300000000013e-07,0.0
4,2.6139790642098322e-05,1.868812179761859e-06,1.2154603557420057e-05,7.198635515755289e-07,0.00011543725005445417,2.630929892980988e-07,3.087662503565403e-05,1.6779991431128096e-06,0.00017993329411249143,8.626081092626117e-06,2,3.5716238269548875e-05,9.758285470222262e-06,0.7776716695771041,1.0709740414595956,-8.099205163812412,251555100.0,7.841383185492071,35.41602,-5.583979999999997,62.0,0.0,0.0007791335326785283,18.720728699804383,4.615225163812416e-05,-2.5152251638124157,2.712440000000002e-07,0.0
5,5.367545026800916e-05,2.081902935049539e-06,7.32503501767865e-06,3.628653650604446e-07,0.00011168064192231276,2.489745713843171e-07,5.003721165763957e-05,2.8293011643291445e-06,0.0001860830339483565,8.6701656526774e-06,2,3.941381772508251e-05,8.962417519055536e-06,0.7753860013701198,1.0186980948803683,-8.755811134304395,223451200.0,2.6963396560417503,34.28605,-6.713949999999996,68.0,0.0,0.0003899717386454713,48.77860483673575,4.141861134304399e-05,-2.0418611343043986,2.89388e-07,0.0
6,5.0533453514718454e-05,1.9969790767308154e-06,1.0037735614606105e-05,3.513403149924492e-07,9.99254368562405e-05,2.63533783192873e-07,0.00016357585031459527,1.957161598950634e-06,0.0001708474643516795,8.715140631988987e-06,2,1.974908248789909e-05,8.549918098930768e-06,0.7876209830582029,1.0393283915779048,-9.287842270009309,282234900.0,12.839142106379112,37.27308,-3.7269199999999993,69.0,0.0,0.0003866399090297768,49.15125031505991,7.66092227000931e-05,-5.56092227000931,3.063369999999999e-07,0.0
7,6.297026962173392e-05,1.9969790767308154e-06,5.9831076097582236e-06,4.1421574575188e-07,9.99254368562405e-05,1.901860706401101e-07,9.849036491473763e-05,1.957161598950634e-06,0.0001650456215444358,8.715140631988987e-06,2,4.023274676699947e-05,8.911688138516972e-06,0.7876209830582029,0.9710849737679484,-9.889193695460412,224354299.99999997,2.871510295231676,32.54463,-8.455370000000002,66.0,0.0,0.0004403656628200207,43.50057352631841,3.53382369546041e-05,-1.4338236954604096,3.044579999999999e-07,0.0
8,4.746688140790053e-05,1.9246315777560606e-06,4.591353144956237e-06,4.0245785344126193e-07,6.438133038091195e-05,2.7548632606142503e-07,9.549130322120604e-05,1.9552844966883106e-06,0.0001791139776028834,8.326502324088364e-06,2,4.108437624300001e-05,9.39882354173917e-06,0.7591176572809124,1.1649988091866514,-9.985051310289904,254757100.0,8.390700176339916,37.34922,-3.650779999999997,72.0,-4.444444444444445,0.0004727837237675848,40.41566661554238,3.989826865845463e-05,-1.8898268658454627,3.137390000000001e-07,0.0
9,2.5531339607978437e-05,1.8664172062236186e-06,3.355025872123414e-06,2.3840264660370847e-07,9.694232831410876e-05,2.276379927019707e-07,0.00010511481552035212,2.0952825401186577e-06,0.00013411013285510157,6.913501114106665e-06,4,3.1355739082527154e-05,9.899068168130186e-06,0.9863607728278028,1.0487603071843465,-10.051693246886497,267559200.0,10.520059401137623,32.48103,-8.518970000000003,68.0,0.0,0.0005876046307800106,30.97339733899543,3.632723246886494e-05,-1.5327232468864935,2.801699999999999e-07,0.0
