,point.params.X_DUT_M1M2_W,point.params.X_DUT_M1M2_L,point.params.X_DUT_M1CM2C_W,point.params.X_DUT_M1CM2C_L,point.params.X_DUT_M3M4_W,point.params.X_DUT_M3M4_L,point.params.X_DUT_M3CM4C_W,point.params.X_DUT_M3CM4C_L,point.params.X_DUT_M5_W,point.params.X_DUT_M5_L,point.params.X_DUT_M5_NG,point.params.X_DUT_M6_W,point.params.X_DUT_M6_L,point.params.X_DUT_V_BIAS_1,point.params.X_DUT_V_BIAS_2,point.score,fit_summary.ugf.curr_val,fit_summary.ugf.score,fit_summary.dcgain.curr_val,fit_summary.dcgain.score,fit_summary.pm.curr_val,fit_summary.pm.score,fit_summary.v(inoise_total).curr_val,fit_summary.v(inoise_total).score,fit_summary.i(idd_total).curr_val,fit_summary.i(idd_total).score,fit_summary.tsettle.curr_val,fit_summary.tsettle.score
0,4.2992978855082166e-05,6.749092418301622e-06,0.0001665649576717512,8.869983984388035e-06,3.128591064059099e-05,6.281673966595596e-06,8.617721200807342e-05,4.636259346629843e-06,0.00013308210916371298,7.566207144557253e-06,4,0.00011220198745266418,4.635394239812488e-06,0.9660087788845908,0.8600276097836608,-103.76513826995699,942334.8,-73.76425321452803,31.01671,-4.98750331375708,93.0,-25.013381741671893,0.0005843981570625906,31.211034541018538,8.084190906176227e-06,37.11170402312913,7.654147e-06,0.0
1,0.0001614580939343468,9.455602431627434e-06,8.011011233139976e-06,1.4427208790622351e-06,0.00010184921084947408,8.461604433957327e-06,0.00019441419466767717,6.595126085237617e-06,0.0001415465183762053,4.612231519942259e-06,5,0.0001714303067628735,8.46953679168284e-06,0.1251004704700412,0.9881365888145479,-445.38693217733766,,-100.0,-56.912549999999996,-45.38693239366884,,-100.0,0.02184577284273461,-99.99999978366883,5.458727556213015e-06,54.16621816397142,,-100.0
2,0.0001254587068600278,8.653664071973023e-06,9.367337957155916e-05,6.1083070973830675e-06,0.0001757529469976504,5.852330048259306e-06,0.00011540485650119989,7.561763252062354e-06,0.00016489188864260348,4.78764692091961e-06,1,9.961912663105475e-05,9.632119914426621e-06,0.8959335323504577,1.0842506865491834,-138.2884031800247,4791230.0,-72.87440731929405,32.649789999999996,-4.172680745316626,134.0,-61.13731087595038,0.0001933755332054059,79.24176588847861,2.308008553927419e-05,-0.10400423946363979,1.5127870000000002e-06,0.0
3,1.1116352036470467e-05,9.808027718782146e-06,6.156076611164651e-05,8.084695104607478e-06,0.00017160532309273922,7.84503794832373e-06,5.9149021681422986e-05,4.8687884929370065e-06,0.0001736059222160467,4.259490173281043e-06,5,3.2911566519737863e-05,3.2565552622106394e-07,0.8142485566085376,1.0620704591254613,-120.49754637359626,9640299.0,-71.71724658534077,46.93492,3.607409414509055,117.0,-47.94133076973244,0.0007955037750549888,17.817693817135776,3.777977406995209e-05,-0.8389690185230503,9.4621e-07,0.0
4,0.0001904294867327659,8.311666989742189e-06,5.4587539466505055e-05,7.761588545200195e-07,1.713049151717416e-05,4.39548045874006e-06,0.00015634926218453555,1.9613979829228336e-06,9.551025242541307e-06,3.973910417089404e-06,2,2.2717884685120303e-05,6.861792823419963e-07,0.3714926268773853,0.47432540842747495,-202.24393738021035,366987.10000000003,-73.89512091175143,3.813279,-18.382017005963334,41.0,-9.96679946249559,0.000148041466411696,90.843580478876,5.743312170885012e-06,51.95911784713804,,-100.0
5,9.142769848176753e-05,2.8384600705145283e-06,6.002591613446912e-06,5.11693367409354e-06,8.846333210656669e-05,1.2286255335206177e-06,0.00014470589991600997,8.605008627963891e-06,9.091199336370802e-05,3.4218522260872875e-06,2,5.608391226589675e-06,6.293591368009818e-06,0.6027735718031298,0.041227160345207466,-339.99774623955045,,-100.0,-43.72442,-39.99774623955046,,-100.0,0.000882622533818914,13.304417207890015,5.046869459208493e-06,57.573152940293795,,-100.0
6,0.00015404287188507855,6.316480184372266e-06,7.562784046202959e-05,4.548922834774708e-06,0.0001911370049099359,1.990265006577116e-06,0.00010283139409932599,3.708885210583454e-06,0.00016872420605389975,9.951468670713349e-07,2,1.1021074690219075e-05,6.882958994642325e-06,0.4459998903730809,1.1575869756448156,-221.59530787807225,1392059.9999999998,-73.66157192403355,12.302869999999999,-14.250899175058574,83.0,-14.344818560194517,0.0003513748279841724,53.304853709251,0.0004126925970689693,-19.338018218785603,,-100.0
7,0.00017570302558289126,3.397719600392043e-06,2.2873518265729295e-05,3.234042142109425e-06,8.565077947294887e-05,7.431375493158574e-06,0.00018655499151585763,6.849850570901789e-06,7.479190681397799e-05,2.7894064241201223e-06,3,0.00011343806686368929,1.461159213319397e-06,1.1451105772905577,0.3539884189334789,-329.2265575350639,,-100.0,-19.20833,-29.22655753506387,,-100.0,0.0001894283334885547,80.13742445592142,5.274684317324672e-06,55.65571281388233,,-100.0
8,5.542110946878462e-05,1.730455370940918e-06,4.9926370422779855e-05,1.9351270181426733e-06,0.00015625534680341232,2.7674276588270927e-06,0.00016077398841041063,3.9640178017264495e-06,1.6942139831531382e-05,6.752224711022603e-06,3,0.0001452492885533674,8.48594112368426e-07,0.0533977600165116,0.13668424716256178,-340.83734800801517,,-100.0,-45.73152,-40.83734800801517,,-100.0,0.0009097021933843321,11.991994125873351,5.054667642950857e-06,57.50609960362435,,-100.0
9,0.000147730579207811,2.592089143195121e-06,3.192926890390606e-05,9.278627536415339e-06,6.760069285755611e-05,2.2044770325830817e-06,0.00017254847760081755,1.6726732132368071e-06,4.2118651261000605e-05,9.302644147533949e-06,4,5.2618583760700535e-05,3.721090898060325e-06,0.7075107072088048,0.8809345490186964,-111.3986949159301,2801854.9999999995,-73.33747626148974,29.16632,-5.90994490127692,100.0,-32.151273753163444,0.001137010710378722,2.305462743796514,6.171371064821218e-06,48.83719410139851,5.2912249999999995e-06,0.0
